Unnamed: 0,Provinsi,Jumlah Penduduk 2024,Timbulan Sampah Tahunan (kg),Pencemaran Air,Pencemaran Tanah,Pencemaran Udara,Tidak Ada Pencemaran,Sampah_per_Kapita_kg,Total_Pencemaran_Desa,Analisis_Pengelolaan,Dominasi_Pencemaran
1,Aceh,5554.8,940267.23,308.0,14.0,168.0,6.088,169271.12227262906,490.0,Baik,Air
2,Sumatera Utara,15588.5,1093646.76,800.0,20.0,229.0,5.184,70157.2800461879,1049.0,Sedang,Air
3,Sumatera Barat,5836.2,798430.65,238.0,27.0,158.0,950.0,136806.5950447209,423.0,Baik,Air
4,Riau,6728.1,752982.8,248.0,6.0,123.0,1.535,111916.1130185342,377.0,Sedang,Air
5,Jambi,3724.3,233450.87,466.0,27.0,55.0,1.082,62683.15388126628,548.0,Sedang,Air
6,Sumatera Selatan,8837.3,642748.64,405.0,34.0,229.0,2.75,72731.33649417809,668.0,Sedang,Air
7,Bengkulu,2112.2,245220.59,219.0,4.0,74.0,1.255,116097.23984471169,297.0,Baik,Air
8,Lampung,9419.6,720583.2999999999,286.0,15.0,174.0,2.268,76498.29079791073,475.0,Sedang,Air
9,Jawa Barat,50345.2,6153346.94,1354.0,65.0,461.0,4.413,122223.11044548439,1880.0,Buruk,Air
10,Banten,12431.4,2159859.19,319.0,36.0,182.0,1.145,173742.2325723571,537.0,Buruk,Air
11,Jawa Tengah,37892.3,3530896.2,1366.0,122.0,583.0,6.861,93182.41964726342,2071.0,Sedang,Air
12,Jawa Timur,41814.5,4335798.32,1101.0,86.0,570.0,7.103,103691.26307859714,1757.0,Sedang,Air
13,Kalimantan Barat,5695.5,790470.33,680.0,67.0,157.0,1.42,138788.5751909402,904.0,Buruk,Air
14,Kalimantan Tengah,2809.7,463358.57,572.0,92.0,71.0,980.0,164913.89472185643,735.0,Buruk,Air
15,Kalimantan Selatan,4273.4,798570.41,332.0,23.0,112.0,1.628,186870.0355688679,467.0,Baik,Air
16,Kalimantan Timur,4045.9,835108.87,197.0,25.0,104.0,801.0,206408.67792085814,326.0,Baik,Air
17,Kalimantan Utara,7398.0,51567.58,85.0,21.0,34.0,389.0,6970.475804271425,140.0,Sedang,Air
18,Sulawesi Utara,2701.8,505276.77,172.0,11.0,174.0,1.533,187014.86786586719,357.0,Baik,Udara
19,Gorontalo,1227.8,72827.63,55.0,1.0,160.0,528.0,59315.54813487539,216.0,Sedang,Udara
20,Sulawesi Tengah,3121.8,249978.3,130.0,16.0,62.0,1.85,80075.05285412262,208.0,Sedang,Air
21,Sulawesi Selatan,9463.4,1210074.35,279.0,22.0,131.0,2.681,127868.87904981297,432.0,Baik,Air
22,Sulawesi Barat,1503.2,109656.19,68.0,1.0,50.0,540.0,72948.50319318786,119.0,Sedang,Air
23,Sulawesi Tenggara,2793.1,246137.69,170.0,32.0,143.0,2.033,88123.47928824603,345.0,Sedang,Air
24,Bali,4433.3,1167451.76,119.0,18.0,19.0,586.0,263336.9634358153,156.0,Baik,Air
25,Nusa Tenggara Barat,5646.0,626286.71,249.0,12.0,52.0,894.0,110925.73680481757,313.0,Sedang,Air
26,Nusa Tenggara Timur,5656.0,627983.42,74.0,25.0,131.0,3.331,111029.60042432815,230.0,Sedang,Udara
27,Maluku,1945.6,169087.23,57.0,3.0,13.0,1.195,86907.49897203948,73.0,Sedang,Air
28,Maluku Utara,1355.6,121288.44,72.0,7.0,39.0,1.107,89472.14517556802,118.0,Sedang,Air
29,Papua Barat,1205.8,106048.56,21.0,3.0,4.0,945.0,87948.71454635926,28.0,Sedang,Air
30,Papua,4542.6,82009.66,81.0,13.0,41.0,918.0,18053.46277462246,135.0,Sedang,Air
