Provinsi,Jumlah Penduduk Menurut Provinsi di Indonesia (Ribu Jiwa),Tahun,Timbulan Sampah Tahunan (ton),Pencemaran Air,Pencemaran Tanah,Pencemaran Udara,Tidak Ada Pencemaran
Aceh,"5.554,8",2024,940267.23,308,14,168,6.088
Sumatera Utara,"15.588,5",2024,1093646.76,800,20,229,5.184
Sumatera Barat,"5.836,2",2024,798430.65,238,27,158,950
Riau,"6.728,1",2024,752982.8,248,6,123,1.535
Jambi,"3.724,3",2024,233450.87,466,27,55,1.082
Sumatera Selatan,"8.837,3",2024,642748.64,405,34,229,2.750
Bengkulu,"2.112,2",2024,245220.59,219,4,74,1.255
Lampung,"9.419,6",2024,720583.2999999999,286,15,174,2.268
Jawa Barat,"50.345,2",2024,6153346.9399999995,1.354,65,461,4.413
Banten,"12.431,4",2024,2159859.19,319,36,182,1.145
Jawa Tengah,"37.892,3",2024,3530896.2,1.366,122,583,6.861
Jawa Timur,"41.814,5",2024,4335798.32,1.101,86,570,7.103
Kalimantan Barat,"5.695,5",2024,790470.33,680,67,157,1.420
Kalimantan Tengah,"2.809,7",2024,463358.57,572,92,71,980
Kalimantan Selatan,"4.273,4",2024,798570.41,332,23,112,1.628
Kalimantan Timur,"4.045,9",2024,835108.87,197,25,104,801
Kalimantan Utara,7398,2024,51567.579999999994,85,21,34,389
Sulawesi Utara,"2.701,8",2024,505276.77,172,11,174,1.533
Gorontalo,"1.227,8",2024,72827.63,55,1,160,528
Sulawesi Tengah,"3.121,8",2024,249978.30000000002,130,16,62,1.850
Sulawesi Selatan,"9.463,4",2024,1210074.35,279,22,131,2.681
Sulawesi Barat,"1.503,2",2024,109656.19,68,1,50,540
Sulawesi Tenggara,"2.793,1",2024,246137.69,170,32,143,2.033
Bali,"4.433,3",2024,1167451.76,119,18,19,586
Nusa Tenggara Barat,"5.646,0",2024,626286.71,249,12,52,894
Nusa Tenggara Timur,"5.656,0",2024,627983.42,74,25,131,3.331
Maluku,"1.945,6",2024,169087.23,57,3,13,1.195
Maluku Utara,"1.355,6",2024,121288.44,72,7,39,1.107
Papua Barat,"1.205,8",2024,106048.56,21,3,4,945
Papua,"4.542,6",2024,82009.66,81,13,41,918
